n,gamma,eps,diameter,cover,omega_active,cover_margin,m
2,40.986675,1.0,81.89768432032234,1,0,-2.1316282072803006e-14,4
2,42.725014,1.0,116.4331441746058,1,0,-7.815970093361102e-14,4
2,6.648365,1.0,99.05141611969151,1,1,-1.1368683772161603e-13,3
2,18.34263,1.0,192.627294380491,1,0,0.0,4
2,38.160657,1.0,73.42955041760172,1,0,-2.842170943040401e-14,4
2,175.153242,1.0,196.4360099784668,0,1,-0.10061333871247768,4
2,65.167522,1.0,36.787081195000695,1,0,0.0,4
2,54.785549,1.0,71.70571204559086,1,0,0.0,4
2,171.039821,1.0,317.0006619766039,1,0,0.0,4
2,138.752086,1.0,73.58105854754238,1,0,0.0,4
2,51.192686,1.0,29.889952934915176,1,0,-8.881784197001252e-14,4
2,75.493119,1.0,58.84573906676102,1,0,0.0,4
2,62.853716,1.0,66.64671462354974,1,0,0.0,4
2,140.251701,1.0,83.68655403634787,1,1,0.0,5
2,37.320252,1.0,98.96663797931176,1,1,0.0,5
2,50.036644,1.0,79.40808715142087,1,1,-1.5631940186722204e-13,6
2,60.357462,1.0,61.50936628664887,1,1,-6.039613253960852e-14,6
2,86.841337,1.0,41.62697138832918,1,0,-1.1368683772161603e-13,4
2,74.46223,1.0,38.62531652878832,1,0,0.0,4
2,145.971447,1.0,71.91894170623677,1,0,-1.1368683772161603e-13,4
2,48.748665,1.0,60.62268648056329,1,1,-2.842170943040401e-14,6
2,75.385589,1.0,59.07599322132935,1,0,0.0,4
2,124.920399,1.0,52.28628214526832,1,0,0.0,4
2,37.451674,1.0,103.20915054895016,1,0,0.0,4
2,117.52345,1.0,26.757423655314675,1,0,-3.907985046680551e-14,4
2,42.160628,1.0,83.13157301229067,1,0,0.0,4
2,114.281652,1.0,58.501277086757135,1,1,-2.842170943040401e-14,6
2,45.370293,1.0,88.69034120589802,1,0,0.0,4
2,112.03426,1.0,53.695464749496274,1,0,-5.3290705182007514e-14,4
2,55.264096,1.0,47.711383119171,1,0,0.0,4
2,71.061961,1.0,64.20579618187826,1,0,0.0,4
2,80.098588,1.0,49.078633527982966,0,1,-0.23602035824192313,6
2,22.980348,1.0,86.0790080997528,1,1,-7.105427357601002e-15,5
2,121.009013,1.0,38.99639499176192,1,0,0.0,4
2,70.432175,1.0,56.976647653699445,1,0,-8.526512829121202e-14,4
2,178.788315,1.0,596.943392344601,0,1,-0.020643150820887968,8
2,89.262073,1.0,52.36591593098388,1,0,-4.618527782440651e-14,4
2,94.852661,1.0,36.7157253824352,1,0,-1.1368683772161603e-13,4
2,121.969826,1.0,55.12630618000001,1,0,-1.1368683772161603e-13,4
2,160.171076,1.0,175.96426779675554,1,0,-4.263256414560601e-14,4
2,134.398431,1.0,59.19254875925687,1,0,0.0,4
2,38.579079,1.0,53.622226767567135,1,1,-8.526512829121202e-14,6
2,15.265003,1.0,210.379681796392,1,0,0.0,4
2,104.743022,1.0,62.94794654408301,1,0,-2.842170943040401e-14,4
2,74.855674,1.0,42.15094518888509,1,0,-5.684341886080802e-14,4
2,101.578824,1.0,45.66199950486354,1,0,0.0,4
2,37.688755,1.0,41.72040477268153,1,0,-5.684341886080802e-14,4
2,171.148206,1.0,237.95852298588443,1,0,-1.4210854715202004e-14,4
2,87.899136,1.0,57.031951474022364,1,0,0.0,4
2,170.927778,1.0,282.0031741125436,1,0,0.0,4
2,34.197113,1.0,45.079431073907436,1,0,0.0,4
2,134.174649,1.0,95.80800051450264,1,0,0.0,4
2,0.877965,1.0,777.6067126808816,0,1,-0.03767421604118226,4
2,47.085488,1.0,68.2620286060515,1,0,0.0,4
2,153.735415,1.0,82.35642817837258,1,1,-1.4210854715202004e-14,6
2,175.878592,1.0,394.135139444156,1,0,-8.526512829121202e-14,4
2,86.298303,1.0,55.874555778571796,1,0,0.0,4
2,9.126315,1.0,234.5556466110028,1,0,0.0,4
2,146.790173,1.0,54.526220927974,1,0,-3.552713678800501e-14,4
2,74.541758,1.0,51.192926544090646,1,0,0.0,4
2,110.807755,1.0,57.86800953278126,1,0,-3.552713678800501e-15,4
2,74.823745,1.0,46.963135685689686,1,0,-1.1013412404281553e-13,4
2,141.045061,1.0,82.65151942683816,1,0,0.0,4
2,56.570644,1.0,75.50088309525688,1,0,0.0,4
2,38.417128,1.0,53.25401271421839,1,0,0.0,4
2,86.112686,1.0,21.81571655494846,1,0,-2.6645352591003757e-14,4
2,172.545511,1.0,210.4313138862853,1,1,-1.4210854715202004e-14,5
2,0.068752,1.0,576.7408240252984,1,1,0.0,4
2,96.71275,1.0,56.7585499288337,1,0,-4.973799150320701e-14,4
2,2.358436,1.0,963.9892120079543,1,1,-5.684341886080802e-14,6
2,90.767797,1.0,49.93298467170005,0,0,-0.4527134321176902,4
2,144.818257,1.0,69.38663582914667,1,0,-4.263256414560601e-14,4
2,148.99049,1.0,105.03654911329379,1,0,0.0,4
2,104.122377,1.0,63.926798989092354,1,0,0.0,4
2,61.926174,1.0,66.24587282235748,1,0,0.0,4
2,167.842627,1.0,261.0592582460725,1,1,-2.842170943040401e-14,6
2,136.163066,1.0,60.35503180259303,1,0,-4.618527782440651e-14,4
2,175.873372,1.0,510.02863406912826,1,1,-5.684341886080802e-14,3
2,50.588709,1.0,78.35942856508929,1,0,0.0,4
2,24.121819,1.0,185.3885212777015,1,0,0.0,4
2,157.103501,1.0,105.43863093427551,1,0,0.0,4
2,91.986666,1.0,49.76382294527407,0,0,-0.005534258852176066,4
2,15.528418,1.0,105.50493613161017,1,0,-2.1316282072803006e-14,4
2,97.685233,1.0,39.03666790894978,1,0,-1.4210854715202004e-14,4
2,68.863512,1.0,64.72634852665534,1,0,0.0,4
2,2.319488,1.0,542.2085297277602,1,1,-1.1368683772161603e-13,6
2,4.473309,1.0,440.02241661806033,1,0,0.0,4
2,17.046247,1.0,156.22289230545962,1,1,-9.947598300641403e-14,6
2,152.683054,1.0,117.39683763861389,1,0,0.0,4
2,108.468164,1.0,47.84533117214203,1,0,0.0,4
2,35.873176,1.0,79.89483628156451,0,1,-0.6676542075691927,5
2,177.726751,1.0,447.182034285113,1,1,0.0,3
2,74.525749,1.0,30.67028076849541,1,0,0.0,4
2,51.12562,1.0,30.7115993357522,1,0,-1.2434497875801753e-13,4
